date,gold_price,usd_index,inflation,oil_price,interest_rate,risk_category
2020-01-01,1464.215305398073,87.40733477030022,1.7247854300918255,65.06301738551201,2.6843319134360697,Medium
2020-01-02,1455.205669350492,95.7974583089964,4.520848498549591,47.2488416697114,2.9007849310694906,Medium
2020-01-03,1512.6115900823793,99.57111612459877,6.914965418650408,67.77203768139245,2.112822745227463,Medium
2020-01-04,1498.2043419304953,96.06576403436561,5.0265262056945375,52.71969883595477,3.9013701649879304,Medium
2020-01-05,1525.1370906956063,103.98057301903195,5.976213602979962,117.27553633067467,1.21528816262314,High
2020-01-06,1514.2242570909036,87.0298253641754,5.9781902600422185,86.20092379813534,2.9292837386917316,Low
2020-01-07,1512.9837440101105,99.44643385757655,6.197135117383988,75.7280345062095,2.8756665321291384,Low
2020-01-08,1500.0437575055191,101.48901622859,4.213173361980028,112.96415025252539,4.574878719078606,High
2020-01-09,1520.7798782662137,99.05306389810345,4.090033873397915,,5.116583043494225,Medium
2020-01-10,1542.664113432584,92.71170010128813,1.5320917194169268,73.25578232593676,3.732145836980963,High
2020-01-11,1472.5208807404013,92.70960626406652,2.5795572237024476,109.97818897998482,1.853200849256866,Medium
2020-01-12,1511.1833518580113,96.73135010150025,,45.12207465144098,3.8704578543085275,Medium
2020-01-13,1542.3507954345432,92.94196072709053,,110.85753162660374,1.56969842851263,Medium
2020-01-14,1493.79993080407,102.66365994731662,3.425759061729321,64.84668228443454,5.3243580500175725,Medium
2020-01-15,1520.636417570058,87.198612365889,4.308343642480483,85.2097827472497,4.567401125184243,Medium
2020-01-16,1505.5498498017694,97.78314695945505,8.079449263692432,61.575086661791275,2.513748841196699,High
2020-01-17,1515.1075499653869,87.68229921547275,3.2531113568750403,118.78396457354715,4.36780346499338,High
2020-01-18,1486.2318522443857,95.80319604998084,5.227730785022509,45.74239866690242,2.3954421381500177,Low
2020-01-19,1542.6192402041036,99.3116240482139,1.654558488387832,75.75642294245209,0.6417033335936763,Medium
2020-01-20,1527.156977040268,88.31021833120498,5.838143854469646,89.6790523866849,3.9605365832531785,High
2020-01-21,1496.4686829937236,99.08066442979307,8.010515187220765,89.24898018698323,2.374222623399313,High
2020-01-22,1534.9323666770083,87.79960062422182,7.693203693880156,99.10067118118751,5.134179038115274,Medium
2020-01-23,1531.9135731107078,97.41107491258278,5.013784544392733,97.95322610576345,1.8594463752287549,Medium
2020-01-24,1515.1608936899254,95.11106058645771,6.047493805940161,103.45141641602427,4.677497312636615,High
2020-01-25,1569.4750370364209,90.96149907618523,5.488587358092998,58.74299275917533,3.822298687335512,Medium
2020-01-26,1541.5960406533889,87.23097461710606,1.9688197090792285,69.64051947215157,4.729954234671429,High
2020-01-27,1558.2305990710652,99.71708279201833,2.611064408137221,70.56264927842182,1.7823798547411664,Low
2020-01-28,1530.3442874756306,92.63610266754011,8.246721203388319,116.46717287281136,2.672063367422882,Medium
2020-01-29,1502.1954454372492,86.73061554546352,3.2917808781017124,72.74494856681666,4.571427308986008,Low
2020-01-30,1489.3404986199344,100.45578676545466,4.1911445126747955,57.74953685637415,3.6300488007188005,Low
2020-01-31,1516.6391560833342,89.65789366967641,5.062610155681551,90.58755411134005,2.1395899723505067,Low
2020-02-01,1564.9654225033719,99.72904107411041,8.353924905753392,74.18135318601827,2.9379770349738252,Medium
2020-02-02,1528.8890797041736,96.29797371881473,6.3299545436084355,60.00640504925986,5.4795149954071976,Low
2020-02-03,1560.9742413349932,88.89058023158103,5.907189484112557,97.21083795665609,4.14470197592288,High
2020-02-04,1517.8717020364322,86.52811454349585,5.1707998070860155,55.35402293181828,3.4762439270951524,High
2020-02-05,1528.9848729453086,96.86498030805251,6.4047209021619,90.66832325274788,4.596534747275958,Medium
2020-02-06,1532.8879590333895,85.50423664478858,6.148111233698426,74.44245677896618,2.5706592785538933,Medium
2020-02-07,1548.7671046818214,86.30928969728225,7.819886245826875,65.53337314645377,5.237836024395098,Low
2020-02-08,1518.2110330853093,99.044381639334,5.292847137552359,115.6785813989841,3.148111450652384,Medium
2020-02-09,1530.3424619433033,95.77747682802607,4.450518117333429,65.95260062518238,1.9660787855380146,High
2020-02-10,1542.5259317682269,91.52590531308753,7.150134196447099,67.80058993199745,0.7016048822510694,High
2020-02-11,1521.274039153651,95.78455885336848,7.098483342807729,109.65106913065368,2.2223999010479236,High
2020-02-12,1513.8659323337258,96.83298655049839,2.688855066084612,50.32346903003946,3.2353514794419946,Medium
2020-02-13,1550.5381980373652,96.30571732488933,3.15754398499519,48.645499971684885,3.942052728349532,High
2020-02-14,1524.3091673395832,97.8510802303098,8.21046782909794,62.6166227267602,4.844362637783135,Medium
2020-02-15,1576.025416885822,103.80576200380735,4.608766768676693,87.33087386195677,5.2057943854500275,Low
2020-02-16,1577.431969845298,92.7755504016805,5.137624875718327,70.74401280881105,0.7878826924509206,High
2020-02-17,1541.7597912735766,91.02302826915152,3.6711208720586685,88.68435846685401,3.404751176488528,Low
2020-02-18,1566.2892226044205,85.7686982206034,4.8674971602814745,52.780050483554774,3.7495956581058865,High
2020-02-19,1556.4312838075136,87.94146113713533,6.703496250369591,60.91606790138776,1.1533350392151338,High
